val1,type1,val2,type2,name_similarity,username_similarity,exact_match,email_username_match,shared_findings_count,shared_domains,label
jane35@gmail.com,email,jane3@janesite.net,email,0.0,0.0,0.0,0.0,0,0.0,1
carlos doe,name,+916667026475,phone,0.0,0.0,0.0,0.0,1,0.0,0
hacke_rlisa_patel,username,lsia_patle,username,0.593,0.593,0.0,0.0,1,0.0,1
ali42@proton.me,email,johnjohnsonsite.com,domain,0.0,0.0,0.0,0.0,0,0.0,0
michael_williamsdev.org,domain,michael_wirlliams,username,0.8,0.0,0.0,0.0,2,0.0,1
hackerj_rahul77,username,rahullabs.net,domain,0.357,0.0,0.0,0.0,1,0.0,1
rajesh68@rajeshsite.net,email,rajeshmillersite.com,domain,0.0,0.0,0.0,0.0,0,0.0,1
rajesh miller,name,rajeshlabs.net,domain,0.444,0.0,0.0,0.0,0,0.0,1
fatimapatelsite.com,domain,rajesh gupta,name,0.323,0.0,0.0,0.0,0,0.0,0
priyasinghsite.com,domain,+918183223644,phone,0.0,0.0,0.0,0.0,0,0.0,0
miqchael_willias,username,michael_williamsdev.org,domain,0.769,0.0,0.0,0.0,0,0.0,1
user_5989,username,ken williams,name,0.095,0.0,0.0,0.0,0,0.0,0
lisa48,username,priya brown,name,0.235,0.0,0.0,0.0,0,0.0,0
site_8735.com,domain,+916008931072,phone,0.0,0.0,0.0,0.0,0,0.0,0
contact_6865@gmail.com,email,rajesh smith,name,0.167,0.0,0.0,0.0,1,0.0,0
+18606001900,phone,elena sato,name,0.0,0.0,0.0,0.0,0,0.0,1
+917212115091,phone,carlos sharma,name,0.0,0.0,0.0,0.0,0,0.0,0
site_4209.com,domain,michael martinez,name,0.207,0.0,0.0,0.0,0,0.0,0
+18606001900,phone,elena35@yahoo.com,email,0.0,0.0,0.0,0.0,1,0.0,1
john garcia,name,ken garcia,name,0.762,0.0,0.0,0.0,0,0.0,0
site_7971.com,domain,contact_5327@gmail.com,email,0.0,0.0,0.0,0.0,0,0.0,0
+916825168062,phone,site_4209.com,domain,0.0,0.0,0.0,0.0,0,0.0,0
john garcia,name,hacke_rjohn_garcia,username,0.414,0.0,0.0,0.0,1,0.0,1
+919952958729,phone,michaelsharmasite.com,domain,0.0,0.0,0.0,0.0,0,0.0,0
+916794730092,phone,+916187968247,phone,0.0,0.0,0.0,0.0,0,0.0,0
alilabs.net,domain,ali42cder,username,0.4,0.0,0.0,0.0,2,0.0,1
user_4798,username,user_9581,username,0.778,0.778,0.0,0.0,0,0.0,0
elnea35,username,yuki_ahmed,username,0.118,0.118,0.0,0.0,0,0.0,0
hacker_amit_johson,username,mit_johnson,username,0.69,0.69,0.0,0.0,2,0.0,1
lisa williams,name,ken brown,name,0.091,0.0,0.0,0.0,0,0.0,0
+916543408460,phone,user_2258,username,0.182,0.0,0.0,0.0,0,0.0,0
contact_3115@proton.me,email,site_5786.com,domain,0.0,0.0,0.0,0.0,0,0.0,0
+919289245144,phone,elena@customlab.org,email,0.0,0.0,0.0,0.0,1,0.0,1
carlos kumar,name,contact_5325@hotmail.com,email,0.25,0.0,0.0,0.0,0,0.0,0
lisapatelsite.com,domain,rajesh miller,name,0.267,0.0,0.0,0.0,0,0.0,0
+916128841576,phone,user_8220,username,0.091,0.0,0.0,0.0,0,0.0,0
+919589711983,phone,michaelsharmasite.com,domain,0.0,0.0,0.0,0.0,0,0.0,0
site_9981.com,domain,yuki kumar,name,0.087,0.0,0.0,0.0,0,0.0,0
jane johnson,name,carlossharmasite.com,domain,0.312,0.0,0.0,0.0,0,0.0,0
lisa77,username,+919387772934,phone,0.211,0.0,0.0,0.0,1,0.0,1
michael_sharma@yahoo.com,email,+13755491676,phone,0.0,0.0,0.0,0.0,1,0.0,1
elenatanakasite.com,domain,ken_gupta@outlook.com,email,0.0,0.0,0.0,0.0,0,0.0,0
+917327141441,phone,amit johnson,name,0.0,0.0,0.0,0.0,0,0.0,1
fatima_patel@outlook.com,email,+918335090736,phone,0.0,0.0,0.0,0.0,0,0.0,0
lisadevisite.com,domain,+919254703979,phone,0.0,0.0,0.0,0.0,0,0.0,0
johnjohnsonsite.com,domain,lisa_patel@hotmail.com,email,0.0,0.0,0.0,0.0,0,0.0,0
contact_8329@yahoo.com,email,priya gupta,name,0.174,0.0,0.0,0.0,0,0.0,0
lisa92,username,lisa9,username,0.909,0.909,0.0,0.0,0,0.0,1
contact_7413@gmail.com,email,site_7864.com,domain,0.0,0.0,0.0,0.0,0,0.0,0
+916299934728,phone,elena jones,name,0.0,0.0,0.0,0.0,0,0.0,0
lisa48@proton.me,email,lis4a8,username,0.833,0.0,0.0,0.0,2,0.0,1
user_3016,username,user_1683,username,0.778,0.778,0.0,0.0,0,0.0,0
site_2263.com,domain,site_1319.com,domain,0.0,0.0,0.0,0.0,0,0.0,0
lisa9,username,john johnson,name,0.118,0.0,0.0,0.0,0,0.0,0
john_ahmed,username,+919032150374,phone,0.0,0.0,0.0,0.0,2,0.0,1
alilabs.net,domain,ali_ahmd,username,0.421,0.0,0.0,0.0,1,0.0,1
site_3769.com,domain,+916763148600,phone,0.0,0.0,0.0,0.0,0,0.0,0
